month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng, 
January,130.1,17,24.5,18.7,21.6,22,19.4,18.1,20.7,78,1016.5,NE,6,6,0,0,
February,122.1,12,25.4,19.4,22.4,22.8,20.2,19,21.9,79,1015.8,E,6,6,0,0,
March,58.3,10,26.5,20.1,23.3,23.8,21.2,20.1,23.4,79,1014.4,NE,5,6,0,0,
April,47.6,6,28.6,22.3,25.4,26,23.2,22.1,26.5,79,1012.2,E,5,5,1,1,
May,224.6,12,29.9,23.6,26.8,27.1,24.6,23.7,29.2,81,1009.1,SE,5,5,4,4,
June,234.6,14,30.2,24.5,27.4,27.7,25.4,24.6,30.8,83,1007.7,S,5,6,4,6,
July,223.5,16,30.5,24.7,27.6,28.1,25.7,24.9,31.4,82,1007.2,SE,5,5,3,4,
August,304.6,19,30.2,24.5,27.4,27.8,25.5,24.7,31,83,1006.1,W,5,6,6,6,
September,350.8,20,29.7,23.9,26.8,27.2,25,24.2,30.1,84,1007.8,E,5,6,4,3,
October,281.2,18,28.8,22.7,25.7,26.3,23.7,22.7,27.5,80,1011.3,NE,6,6,2,2,
November,272,19,27,21.3,24.1,24.7,22.2,21.2,25,80,1013.8,NE,6,6,1,0,
December,96.8,14,25.2,18.9,22.1,22.6,19.7,18.3,21,76,1016.1,NE,6,6,0,0,
Annual,2346.2,177,28,22.1,25.1,25.5,23,22,26.5,80,1011.5,NE,5,6,25,26,
