month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure,rel_hum,mslp,wind_dir_16pt,wind_spd,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,17.4,3,30.1,20.5,25.3,24.8,20.8,19,21.8,70,1014.2,NW,3,5,0,0
February,18.6,3,31,20.7,25.9,25.4,21.1,19.2,22.1,68,1014.1,ENE,3,5,0,0
March,28.4,4,32.6,21.8,27.2,26.8,22,20,23.1,66,1012.8,ESE,3,5,2,1
April,65,7,34,23.2,28.6,28.2,23.2,21.2,25,65,1011.5,ESE,3,6,5,4
May,221.8,15,32.7,23.9,28.3,27.7,24,22.6,27.3,73,1009.7,S,2,6,14,7
June,241.2,18,31.5,23.6,27.6,27,24.3,23.3,28.5,80,1009.6,S,2,6,14,10
July,422.6,22,30.6,23.5,27,26.3,24.2,23.4,28.7,84,1009.1,S,2,7,16,9
August,429.4,24,30.1,23.5,26.8,26,24.2,23.5,28.9,86,1008.7,S,2,7,13,6
September,293.1,21,30.5,23.2,26.9,26,24,23.2,28.4,85,1009.5,S,2,7,13,7
October,177,12,31.1,23,27,26.5,23.6,22.5,27.1,78,1010.7,W,2,6,6,6
November,78,8,31,22.4,26.7,26.2,22.8,21.5,25.4,75,1011.8,NW,3,6,1,3
December,34.2,6,30.2,21.3,25.8,25.2,21.5,19.9,23.1,72,1013.3,NW,3,6,0,0
Annual,2026.8,143,31.3,22.6,26.9,26.3,23,21.6,25.8,75,1011.3,S,3,6,84,53
