month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,6,2,31.2,22.5,26.8,26.2,21.6,19.6,22.6,67,1013,ENE,4,4,0,0
February,4.2,1,32.1,22.7,27.4,26.6,21.8,19.7,22.8,66,1012.9,ENE,4,3,0,0
March,16.1,3,33.5,23.6,28.5,27.8,22.8,20.8,24.3,65,1011.9,ENE,4,3,1,1
April,22.5,3,34.5,24.8,29.6,29.1,24,22.1,26.3,65,1010.8,E,4,3,2,3
May,416.8,12,33.1,25.1,29.1,28.7,24.8,23.4,28.6,73,1009.1,SW,3,5,10,9
June,385.7,17,31.7,24.8,28.2,28,25,24,29.6,78,1009.1,SW,3,6,11,13
July,759.7,23,30.9,24.4,27.7,27.3,24.7,23.8,29.3,81,1008.4,SW,3,6,11,12
August,753.5,24,30.4,24.4,27.4,27.1,24.6,23.7,29.2,81,1008.3,SW,4,7,10,10
September,695.8,21,30.7,24.3,27.5,27,24.6,23.7,29.3,82,1008.9,SW,3,6,9,8
October,214.5,13,31.6,24.2,27.9,27.5,24.3,23.1,28.2,77,1009.7,ENE,3,5,6,8
November,81.9,8,31.7,23.9,27.8,27.3,23.5,22.1,26.3,73,1010.4,ENE,3,5,2,3
December,21.9,5,31,23.2,27.1,26.6,22.1,20.2,23.5,68,1011.9,ENE,4,4,0,0
Annual,3378.6,132,31.9,24,27.9,27.4,23.6,22.2,26.7,73,1010.4,ENE,4,5,62,67
