month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum_percent,mslp_mbs,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,70.7,10,24.2,18.6,21.4,21,19.7,19.1,22.3,89,1013,NE,4,5,0,1
February,63,9,24.9,18.8,21.9,21.3,20,19.4,22.6,89,1012.7,NE,4,5,1,1
March,59,8,26.4,19.4,22.9,22.3,20.7,20,23.6,87,1011.9,NE,3,5,2,2
April,50.6,6,28.2,20.5,24.4,23.8,21.9,21.1,25.1,85,1010.8,NE,3,4,4,7
May,196.3,14,28.3,21,24.7,24.2,22.6,22,26.5,87,1008.8,W,3,6,15,15
June,257.6,18,27.4,21.1,24.3,23.8,22.6,22.1,26.7,90,1008.6,W,3,6,17,16
July,534.2,22,26.4,20.7,23.6,23.1,22.1,21.7,26.1,92,1007.9,W,3,6,15,13
August,474.1,23,25.8,20.5,23.2,22.9,22.1,21.8,26.1,93,1007.8,W,3,7,14,9
September,482.8,21,26.2,20.4,23.3,23,22.1,21.8,26.1,92,1008.3,W,3,7,14,13
October,276.5,18,26.2,20.4,23.3,22.9,21.8,21.4,25.4,91,1009.5,NE,3,6,10,13
November,264.8,18,25.6,19.9,22.8,22.4,21.3,20.8,24.7,91,1010.3,NE,3,6,5,7
December,202.3,16,24.3,19.1,21.7,21.5,20.4,19.9,23.3,90,1011.4,NE,4,6,1,1
Annual,2931.9,183,26.2,20,23.1,22.7,21.4,20.9,24.9,89,1010.1,NE,3,6,98,98
