month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,22.7,5,30.4,22.2,26.3,25.9,23.1,22,26.3,79,1012.7,NE,2,5,0,0
February,16,3,31.6,22.1,26.9,26.4,23.3,22.1,26.5,77,1012.6,NE,2,4,0,0
March,21.5,3,33.2,22.9,28.1,27.7,24.1,22.8,27.5,74,1011.7,NE,2,4,1,1
April,35,4,34.5,23.9,29.2,29,25.1,23.8,29.2,73,1010.2,NE,1,4,5,5
May,116.6,10,33.9,24.6,29.2,29.1,25.7,24.6,30.7,76,1008.5,NE,1,5,13,14
June,228.7,16,32.5,24.6,28.6,28.4,25.6,24.7,30.9,80,1008.3,SW,1,6,15,15
July,329.6,19,31.4,24.1,27.8,27.6,25.3,24.5,30.6,83,1008.2,SW,1,6,17,16
August,286.9,18,31,24.3,27.6,27.5,25.3,24.5,30.7,84,1007.6,SW,2,6,12,12
September,255,17,31.4,24.1,27.8,27.5,25.3,24.5,30.7,84,1008.5,SW,1,6,14,14
October,218.4,15,31.6,23.9,27.7,27.4,25.1,24.3,30.3,83,1009.4,NE,1,6,9,14
November,144.7,13,31.4,23.6,27.5,27.1,24.6,23.7,29.2,81,1010.3,NE,2,5,2,6
December,92,9,30.2,22.8,26.5,26.2,23.6,22.6,27.3,80,1011.8,NE,2,5,0,1
Annual,1767,132,31.9,23.6,27.8,27.5,24.7,23.7,29.2,80,1010,NE,2,5,88,98
