month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,95,11,27.6,20.5,24.1,24.1,22.4,21.7,25.9,86,1014.2,NE,4,6,0,0
February,56.5,7,28.8,20.9,24.9,24.8,22.9,22.1,26.6,85,1014.1,NE,4,5,0,0
March,39,5,30.6,22.3,26.5,26.2,24.1,23.3,28.6,84,1012.7,NE,4,4,0,0
April,40.2,4,32.4,23.7,28,27.7,25.5,24.7,31.1,84,1011.1,NE,3,4,3,2
May,115.7,8,33.1,24.4,28.7,28.4,26.1,25.3,32.2,83,1008.7,S,3,5,8,7
June,157.6,10,33.5,24.7,29.1,28.8,26.4,25.6,32.7,83,1007.2,S,3,5,9,11
July,181.1,11,33.1,24.7,28.9,28.6,26.3,25.5,32.6,83,1006.8,S,3,5,7,10
August,191.1,12,32.7,24.5,28.6,28.4,26.1,25.3,32.2,83,1006.4,S,3,6,7,8
September,243.8,12,32.4,24.1,28.2,28.1,25.9,25.2,31.9,84,1008.1,NE,3,5,5,7
October,295.9,15,31.2,23.6,27.4,27.4,25.4,24.7,31,85,1009.5,NE,4,6,2,3
November,285.5,17,29.9,22.9,26.4,26.3,24.5,23.8,29.5,86,1012.2,NE,4,6,0,1
December,186.6,15,28,21.2,24.6,24.6,22.9,22.2,26.7,87,1014.2,NE,4,6,0,0
Annual,1888.1,127,31.1,23.1,27.1,26.9,24.9,24.1,30.1,84,1010.4,NE,4,5,41,49
