month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,15.2,3,23.3,12.9,18.1,17.1,15.5,14.5,16.5,85,1011.7,SE,2,5,0,0
February,23.4,3,24.1,13.4,18.7,17.7,16,15,17,84,1011.3,SE,2,5,1,0
March,46,5,25.2,14.5,19.9,18.9,17,15.9,18.1,83,1010.3,SE,2,5,3,1
April,104.1,9,25.8,15.9,20.8,20,18.2,17.3,19.7,84,1008.9,SE,2,5,9,4
May,341.1,20,25,16.4,20.7,19.8,18.4,17.7,20.2,88,1007.7,SE,2,6,17,12
June,475.8,22,24.4,16.5,20.5,19.6,18.4,17.8,20.3,89,1007,SE,2,7,16,12
July,781.9,26,23.4,16.3,19.8,19,18.1,17.6,20.2,92,1006.6,SE,2,7,15,10
August,905,27,22.6,16.2,19.4,18.7,17.9,17.5,20,93,1006.3,SE,2,7,13,7
September,570.9,24,23.4,16,19.7,18.9,17.9,17.3,19.8,91,1007.1,SE,2,7,13,7
October,454.3,17,23.9,15.7,19.8,19,17.8,17.1,19.6,89,1008,SE,2,6,8,6
November,97.4,8,24.1,15.1,19.6,18.7,17.2,16.4,18.6,86,1009.3,SE,2,5,3,2
December,26.2,4,23.5,13.7,18.6,17.7,16,15,17,84,1011,SE,2,5,0,0
Annual,3841.4,168,24,15.2,19.6,18.8,17.4,16.6,18.9,87,1008.8,SE,2,6,98,61
