month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,220.2,16,27.6,21.3,24.5,24.3,22.5,21.8,26,86,1006.7,N,2,6,0,0
February,179.1,14,28.3,21.5,24.9,24.6,22.8,22.1,26.5,86,1004.9,S,2,6,0,0
March,185,14,29.6,22.3,25.9,25.6,23.7,23,28,85,1003.8,S,2,5,1,1
April,215.4,14,30.9,23.3,27.1,26.7,24.7,24,29.7,85,1002,SE,2,4,3,4
May,329.1,16,31,23.9,27.4,27.1,25.1,24.4,30.5,85,999.9,S,2,5,11,11
June,238.8,16,31.4,24.4,27.9,27.6,25.4,24.6,30.9,84,999.4,W,3,5,12,14
July,272.7,17,31.1,24.1,27.6,27.4,25.1,24.3,30.3,83,997.4,W,3,6,11,13
August,164.9,15,31.2,24.3,27.8,27.4,25.1,24.3,30.3,83,997.5,W,3,6,9,10
September,282.1,15,31.2,24,27.6,27.3,25,24.2,30.1,83,997.7,W,3,6,10,12
October,386,18,30.5,23.7,27.1,26.8,24.8,24.1,29.9,85,999.6,NW,2,6,7,9
November,368.7,16,29.4,22.9,26.2,26,24.1,23.4,28.7,85,1002.2,N,2,6,3,3
December,405.9,15,27.8,21.9,24.8,24.7,22.9,22.2,26.7,86,1003.4,N,2,6,0,0
Annual,3247.9,186,30,23.1,26.6,26.3,24.3,23.5,29,85,1001.2,W,2,6,67,77
