month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,613.7,27,29.4,21.6,25.5,25.6,24,23.4,28.7,88,1011.1,NE,3,7,0,0
February,345.4,19,30.1,21.7,25.9,25.9,24.2,23.6,29,87,1011.6,NE,3,6,0,0
March,312.6,19,31,22.2,26.6,26.6,24.8,24.1,30,86,1011.3,NE,2,6,0,0
April,225.5,18,31.7,23,27.4,27.4,25.4,24.7,31,85,1010.3,E,2,5,1,1
May,207.2,15,32.3,23.2,27.8,28,25.8,25.1,31.7,84,1009.3,E,2,5,3,2
June,233.4,17,32.2,23.3,27.7,27.8,25.7,25,31.6,85,1008.8,W,2,6,5,5
July,249.9,17,32,22.9,27.5,27.6,25.5,24.8,31.2,84,1008.6,W,2,6,5,5
August,146.4,14,32.6,23,27.8,28,25.6,24.8,31.2,82,1007.8,W,2,6,6,6
September,189.9,16,32.2,23.2,27.7,27.5,25.4,24.7,31,84,1009.2,W,2,6,7,7
October,347.3,21,31.7,22.8,27.2,27.1,25.2,24.5,30.7,86,1009.4,W,2,6,6,5
November,508.4,23,31.2,22.7,26.9,26.9,25.2,24.6,30.9,87,1009.4,NE,2,6,3,2
December,674.8,26,30.3,22.3,26.3,26.3,24.7,24.1,30,88,1010.4,NE,2,6,1,0
Annual,4054.5,232,31.4,22.6,27,27.1,25.1,24.4,30.6,86,1009.8,NE,2,6,37,33
