month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,318,21,30.2,22.5,26.3,25.9,24.4,23.8,29.5,88,1012.4,NW,1,6,2,2
February,225,16,30.8,22.5,26.6,26.2,24.3,23.6,29.1,85,1012.5,NW,1,6,2,1
March,145.4,16,31.8,22.8,27.3,26.9,24.7,23.9,29.6,84,1012.3,NW,1,6,4,2
April,109.7,13,33.1,23.5,28.3,27.8,25.4,24.6,30.8,82,1011.3,ESE,1,5,7,6
May,115.5,14,33.7,24.2,28.9,28.4,25.9,25.1,31.7,82,1010.5,ESE,1,5,14,14
June,154,17,33.1,24,28.5,28,25.7,24.9,31.4,83,1010.3,ESE,2,6,14,15
July,143.9,16,32.6,23.7,28.2,27.7,25.5,24.7,31.1,84,1010.3,NNW,2,6,13,16
August,105.6,13,32.9,23.9,28.4,28,25.5,24.6,30.9,82,1010.3,NNW,2,6,11,16
September,126.3,14,32.9,23.7,28.3,27.9,25.5,24.7,31,82,1010.6,NNW,2,6,14,18
October,178.4,16,32.4,23.6,28,27.6,25.5,24.8,31.2,84,1010.6,NW,2,6,15,17
November,197.9,18,31.7,23.4,27.5,27,25.2,24.6,30.8,86,1010.6,NW,1,6,9,12
December,238.2,20,30.8,22.9,26.9,26.4,24.8,24.2,30.2,88,1011.6,NW,1,6,4,6
Annual,2057.8,194,32.2,23.4,27.8,27.3,25.2,24.5,30.6,84,1011.1,NW,1,6,109,125
