month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,16.9,2,32.1,20.6,26.4,25.4,23,22.1,26.4,82,1013.1,NE,1,4,0,0
February,16.6,2,32.8,21.1,27,26,23.4,22.4,27,80,1013,NE,1,3,0,0
March,18.4,2,34.3,22.1,28.2,27.3,24.4,23.4,28.6,79,1012.1,SE,1,3,1,1
April,47.4,4,36,23.5,29.8,28.8,25.6,24.5,30.6,77,1010.6,SE,1,3,4,4
May,179.1,13,35.6,24.4,30,28.9,26.1,25.2,31.9,80,1007.5,S,1,5,14,11
June,193.7,16,34.3,24.4,29.4,28.2,26.3,25.7,32.9,86,1008.7,S,1,5,15,13
July,371.1,22,33,24.1,28.5,27.5,26,25.5,32.6,89,1008,S,1,6,18,10
August,372,24,32.3,24.1,28.2,27.1,25.9,25.5,32.6,91,1007.8,S,1,6,16,7
September,320.4,21,32.5,23.9,28.2,27.1,25.8,25.3,32.3,90,1008.4,S,1,6,17,9
October,186.4,12,32.9,23.4,28.2,27.2,25.5,24.9,31.4,87,1009.4,NE,1,5,7,7
November,90,8,32.7,22.6,27.7,26.7,24.7,24,29.7,85,1010.6,NE,1,4,2,2
December,42.9,5,32,21.7,26.8,25.9,23.6,22.7,27.5,82,1012.2,NE,2,4,0,0
Annual,1854.9,131,33.4,23,28.2,27.2,25,24.3,30.3,84,1010.1,NE,1,5,94,64
