month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,170.6,17,26.5,21.2,23.8,23.7,21.8,21,24.8,85,1015.6,NE,3,5,0,0
February,126.2,11,27.1,21.2,24.2,24,22.2,21.4,25.5,86,1015.1,E,3,5,0,0
March,49.4,7,28.9,22.3,25.6,25.5,23.4,22.6,27.3,84,1013.7,E,2,4,0,0
April,58,5,31.1,23.8,27.5,27.4,25.1,24.3,30.3,83,1011.8,E,2,3,0,0
May,159.2,8,32.4,25.1,28.7,28.7,26.4,25.6,32.8,83,1009,E,2,4,2,3
June,170.9,8,32.6,25.6,29.1,29.1,26.8,26.1,33.6,84,1007.8,W,2,5,2,3
July,209.1,11,32.3,25.5,28.9,28.9,26.7,26,33.5,84,1007,W,2,5,2,2
August,228.4,15,31.7,25.3,28.5,28.5,26.6,26,33.5,86,1006.8,W,2,6,3,3
September,318.5,16,31.2,24.7,28,28,26,25.3,32.2,85,1008,W,2,6,1,2
October,375.4,18,30.2,24.3,27.3,27.3,25.3,24.6,30.9,85,1010.3,NE,3,5,1,1
November,335.1,18,28.7,23.6,26.2,26.1,24.3,23.6,29.1,86,1013,NE,3,6,0,0
December,219.5,18,26.8,21.7,24.2,24.2,22.4,21.7,25.8,86,1015.4,NE,3,6,0,0
Annual,2420.3,152,30,23.7,26.8,26.8,24.8,24,29.9,85,1011.1,NE,2,5,11,14
