month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,272.5,17,27.6,19.8,23.7,23.6,22.3,21.7,26,89,1014.2,NE,2,6,0,0
February,226.6,14,28.4,20.1,24.2,24,22.7,22.2,26.7,89,1014,NE,2,5,0,0
March,203,14,30,20.9,25.4,25.3,23.8,23.2,28.4,88,1013,NE,2,5,0,0
April,183,12,31.9,22.2,27,26.9,25.2,24.6,30.9,87,1011.3,NE,2,4,2,3
May,238.5,15,33,23.2,28.1,28,26.3,25.7,33,87,1008.9,S,1,5,7,10
June,225.2,14,33.3,23.7,28.5,28.4,26.7,26.1,33.8,88,1007.6,S,1,5,5,11
July,282.8,15,32.6,23.5,28.1,27.9,26.3,25.8,33.1,88,1006.9,S,2,5,5,8
August,208.8,14,32.8,23.5,28.1,27.9,26.2,25.6,32.8,87,1006,S,2,6,5,8
September,280.9,16,32.2,23,27.6,27.4,25.8,25.2,32.1,88,1007.5,NE,1,6,6,9
October,537.4,17,31,22.5,26.8,26.5,25.1,24.6,30.9,89,1009.3,NE,2,5,4,4
November,591.3,19,29.6,21.9,25.8,25.6,24.2,23.7,29.2,89,1011.3,NE,2,6,1,1
December,495.6,17,28,20.6,24.3,24.2,22.9,22.4,27,90,1013.5,N,2,6,0,0
Annual,3745.6,184,30.9,22.1,26.5,26.3,24.8,24.2,30.3,88,1010.3,NE,2,5,35,54
