month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,240.4,20,30.7,22.1,26.4,26,23.9,23.1,28.2,84,1011.3,NE,1,5,1,0
February,197.4,15,31.5,22.2,26.8,26.4,23.9,23,27.9,81,1011.5,NE,1,5,1,0
March,162.7,16,32.5,22.8,27.6,27.2,24.4,23.4,28.6,79,1011.2,NE,1,4,2,1
April,118,13,33.6,23.7,28.7,28.4,25.2,24.1,29.8,77,1010,NE,1,4,3,1
May,167.8,15,33.9,24.6,29.2,29,25.9,24.9,31.3,78,1008.8,SW,1,4,9,2
June,220.3,19,33.4,24.6,29,28.7,25.8,24.8,31.2,79,1008.4,SW,1,5,10,3
July,274.2,19,32.7,24.4,28.6,28.3,25.6,24.7,30.9,81,1007.1,SW,1,6,10,3
August,198.3,15,32.9,24.9,28.9,28.7,25.7,24.7,30.9,79,1007.9,SW,1,6,6,3
September,270.5,18,32.7,24.4,28.6,28.3,25.6,24.7,30.9,81,1008.4,SW,1,6,9,3
October,305.7,21,32.3,23.9,28.1,27.6,25.4,24.6,30.9,84,1008.6,W,1,5,8,3
November,334.9,22,31.6,23.4,27.5,27,25,24.3,30.3,85,1009.1,NE,1,5,4,1
December,322.7,22,31,22.7,26.8,26.4,24.4,23.7,29.2,85,1010.3,NE,1,5,1,0
Annual,2813.1,215,32.4,23.6,28,27.7,25.1,24.2,30,81,1009.4,NE,1,5,64,20
