month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,456.7,23,29.3,22.6,26,25.9,24.3,23.7,29.3,88,1012,NE,3,6,1,0
February,291.9,18,29.9,22.3,26.1,26,24.2,23.5,28.9,86,1012.1,NE,3,6,1,0
March,234.3,16,30.8,22.4,26.6,26.6,24.6,23.9,29.5,85,1011.7,NE,2,5,2,1
April,143.9,13,32.1,23,27.6,27.6,25.4,24.6,30.9,84,1010.5,NE,2,5,5,2
May,145.2,13,33.2,23.7,28.4,28.4,26,25.2,31.9,83,1008.9,NE,2,5,13,7
June,195.3,15,33,23.9,28.5,28.2,25.9,25.1,31.8,83,1008.4,S,1,6,14,9
July,208.2,16,32.4,23.8,28.1,27.8,25.7,25,31.6,85,1008,SW,2,7,12,9
August,173.6,13,33,24.1,28.5,28.1,25.7,24.9,31.4,82,1007.9,SW,2,7,8,7
September,210.5,15,32.6,23.7,28.1,27.8,25.6,24.8,31.3,84,1008.5,SW,2,7,11,9
October,338.4,20,31.7,23.5,27.6,27.4,25.5,24.8,31.3,86,1008.9,NE,2,6,10,7
November,529.7,24,30.6,23.3,27,26.9,25.3,24.7,31.1,88,1009.5,NE,2,6,7,3
December,628.2,26,29.6,23,26.3,26.3,24.7,24.1,30,88,1010.9,NE,3,7,3,1
Annual,3556,212,31.5,23.3,27.4,27.2,25.2,24.5,30.8,85,1009.8,NE,2,6,87,55
