month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,18.5,3,32.4,22.7,27.5,27.4,24.7,23.7,29.2,80,1010.9,E,2,5,0,0
February,14,2,32.6,22.9,27.8,27.7,24.8,23.8,29.3,79,1011,E,2,4,0,0
March,15.4,2,33.2,23.6,28.4,28.3,25.2,24.1,29.9,78,1010.6,E,2,4,0,1
April,38.1,3,34,24.3,29.1,29,25.8,24.7,31,77,1009.3,E,2,4,2,4
May,198.1,12,33.4,24.4,28.9,28.7,26.1,25.2,32,81,1007.1,E,1,5,8,13
June,360.8,19,31.7,23.9,27.8,27.8,26,25.4,32.4,87,1008,S,1,7,11,14
July,479.9,23,30.9,23.4,27.1,27.2,25.6,25,31.7,88,1008.1,S,1,7,9,12
August,466.3,22,30.9,23.4,27.2,27.2,25.6,25,31.7,88,1007.9,S,2,7,7,9
September,447.1,21,31.1,23.5,27.3,27.2,25.6,25,31.7,88,1008.4,SW,1,7,9,11
October,250.8,17,31.8,23.5,27.7,27.6,25.8,25.2,32,87,1008.5,E,1,6,7,11
November,118.6,9,32.5,23.6,28.1,27.9,25.6,24.8,31.2,83,1008.9,E,2,5,2,6
December,74,6,32.3,23.2,27.8,27.6,25.1,24.2,30.1,82,1009.7,E,2,5,1,2
Annual,2481.7,139,32.2,23.5,27.9,27.8,25.5,24.7,31,83,1009,E,2,6,56,83
