month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,88.4,9,32.7,22.9,27.8,28.1,24.6,23.4,28.5,75,1012.1,NNW,2,7,4,14
February,83.9,9,32.8,23.1,27.9,28.2,24.6,23.3,28.4,74,1012.6,NNW,2,7,4,13
March,119.9,11,33.4,23.3,28.3,28.5,24.8,23.5,28.7,74,1012.3,NNW,2,6,7,17
April,146.7,11,33.7,23.5,28.6,28.8,25,23.7,29,73,1012.1,NNW,2,6,10,19
May,268.5,17,33.1,23.2,28.1,28.4,24.8,23.5,28.8,74,1012.3,NNW,2,7,15,27
June,312.3,20,32.3,22.8,27.6,27.9,24.5,23.3,28.4,76,1012.3,NNW,2,7,12,25
July,325.4,19,31.9,22.7,27.3,27.8,24.5,23.3,28.5,76,1011.9,NNW,2,7,9,24
August,244.8,16,32.1,22.9,27.5,27.9,24.5,23.3,28.4,76,1012.3,NNW,2,7,8,24
September,256.6,16,32.3,22.9,27.6,28,24.6,23.4,28.6,76,1012,NNW,2,7,10,25
October,285.5,17,32.2,22.9,27.5,27.9,24.6,23.4,28.6,76,1011.5,NNW,2,7,12,26
November,216.3,14,32.6,22.9,27.8,28.1,24.6,23.4,28.5,75,1011.4,NNW,2,7,10,24
December,139.6,12,32.5,22.8,27.6,28.1,24.6,23.4,28.5,75,1011.7,NNW,2,7,6,20
Annual,2487.8,171,32.6,23,27.8,28.1,24.7,23.4,28.6,75,1012,NNW,2,7,107,258
