month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,7.4,1,30.3,25.4,27.8,27.4,24.9,24,29.8,82,1011.4,NE,5,5,0,0
February,3.1,1,30.7,25.3,28,27.5,25,24.1,29.9,82,1011.4,NE,4,4,0,0
March,19.8,1,31.9,25.7,28.8,28.2,25.6,24.7,31,81,1011.1,NE,3,4,0,0
April,41.6,3,33.1,26.5,29.8,29.4,26.5,25.6,32.6,80,1010.2,NE,2,4,1,1
May,193.1,13,33.1,26.3,29.7,29.3,26.7,25.9,33.2,82,1009.3,NE,1,6,7,6
June,327.3,19,32.1,25.7,28.9,28.5,26.4,25.7,33,85,1009.2,SW,2,7,8,7
July,402.9,21,31.5,25.5,28.5,28.1,26.1,25.4,32.4,85,1009.1,SW,2,7,6,4
August,391.2,19,31.6,25.6,28.6,28.2,26.1,25.4,32.3,85,1009.1,SW,2,7,5,4
September,341.5,20,31.6,25.6,28.6,28.1,26.1,25.4,32.4,85,1009.6,SW,2,7,5,4
October,302.8,16,31.6,25.8,28.7,28.3,26.2,25.5,32.5,85,1009.8,NE,2,6,4,4
November,112.3,6,31.6,26.2,28.9,28.5,26.1,25.3,32.1,83,1009.8,NE,3,5,1,1
December,52.5,4,30.6,25.7,28.2,27.8,25.4,24.6,30.8,82,1010.8,NE,5,5,0,0
Annual,2195.6,124,31.6,25.8,28.7,28.3,25.9,25.1,31.8,83,1010.1,NE,3,6,37,31
