month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,266.3,22,28.6,23.5,26,25.7,24,23.4,28.7,87,1013.1,NE,4,6,1,0
February,180.1,15,29.1,23.3,26.2,25.9,24.1,23.4,28.8,86,1013.1,E,4,5,0,0
March,150.4,13,30.1,23.9,27,26.8,24.9,24.2,30.2,86,1012.4,E,3,5,2,1
April,131.3,10,31.6,24.9,28.3,28.1,26,25.3,32.1,85,1010.8,E,3,4,5,3
May,138.5,12,32.8,25.2,29,28.6,26.5,25.8,33.2,85,1009.1,E,2,5,14,15
June,183.9,14,32.8,25.1,28.9,28.4,26.4,25.7,33,85,1008.1,SW,2,6,17,20
July,237.1,16,32,24.8,28.4,27.8,26.1,25.5,32.6,87,1007.6,SW,3,6,15,18
August,165.4,15,32.2,24.9,28.6,27.9,26,25.4,32.3,86,1007.1,SW,3,6,13,13
September,257.9,17,31.8,24.5,28.1,27.5,25.9,25.3,32.3,88,1008.1,SW,2,6,15,16
October,496.3,23,30.8,24.4,27.6,27.3,25.7,25.1,31.9,88,1009,NE,3,6,11,12
November,542.9,25,30.1,24.6,27.3,27.1,25.5,24.9,31.5,88,1010.3,NE,4,6,6,5
December,588.4,25,28.8,24,26.4,26.1,24.6,24,29.9,88,1012.1,NE,5,7,2,1
Annual,3338.4,207,30.9,24.4,27.7,27.3,25.5,24.8,31.4,87,1010.1,NE,3,6,101,104
