month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,6.7,1,30.8,20.7,25.8,25.7,23,21.9,26.2,79,1012.4,S,2,4,0,0
February,10.7,1,31.8,21.2,26.5,26.4,23.5,22.4,26.9,78,1012.2,S,3,3,0,0
March,22.2,2,33.2,22.6,27.9,27.6,24.5,23.4,28.6,77,1011.3,S,3,3,1,1
April,60.4,5,34.7,24.4,29.5,29.1,25.8,24.7,30.9,77,1009.8,S,3,4,5,6
May,209.8,12,34.1,24.8,29.4,29.1,26.2,25.3,32,79,1008.2,S,3,5,14,17
June,337.9,17,33.1,24.7,28.9,28.4,26.1,25.3,32.2,83,1007.5,S,2,6,17,15
July,499.6,21,32,24.4,28.2,27.8,25.9,25.3,32.1,86,1007,SE,2,6,17,15
August,581.3,22,31.3,24.3,27.8,27.4,25.7,25.1,31.8,87,1006.6,SE,2,7,14,12
September,368.4,20,31.6,24.2,27.9,27.6,25.7,25,31.7,86,1007.6,SE,2,6,14,14
October,215.9,11,31.9,24,27.9,27.8,25.6,24.8,31.3,84,1008.6,S,2,5,8,9
November,53.9,5,31.8,23,27.4,27.3,24.9,24.1,29.8,82,1009.9,S,2,4,2,2
December,14.1,2,30.9,21.4,26.2,26.2,23.6,22.6,27.3,80,1011.6,S,2,4,1,1
Annual,2380.9,119,32.3,23.3,27.8,27.5,25.1,24.2,30.1,82,1009.4,S,2,5,93,92
