month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,140.3,14,30.8,23.3,27.1,26.5,24.1,23.2,28.4,82,1009.9,N,2,6,3,4
February,109.4,12,31.2,23.3,27.3,26.7,24.1,23.1,28.2,81,1010.2,N,2,6,2,3
March,108.4,11,32.2,23.6,27.9,27.4,24.4,23.3,28.5,78,1010.1,N,2,5,5,5
April,124.7,11,33,24.2,28.6,28.2,25,23.9,29.5,77,1009.4,N,2,5,8,10
May,158.7,16,32.6,24.6,28.6,28.2,25.5,24.6,30.8,80,1008.9,S,2,6,16,19
June,186.7,18,31.8,24.2,28,27.7,25.3,24.5,30.6,82,1008.9,S,1,6,14,16
July,165,16,31.5,23.9,27.7,27.4,25.1,24.3,30.3,83,1008.9,S,1,6,13,16
August,170,15,31.7,24,27.9,27.6,25.1,24.2,30.1,82,1008.9,S,2,6,14,16
September,170.4,15,31.9,23.9,27.9,27.6,25.1,24.2,30.1,82,1009.1,S,1,6,15,17
October,174.8,16,32.3,23.9,28.1,27.7,25.1,24.2,30.1,81,1008.8,S,1,6,17,19
November,138.1,16,32.1,23.9,28,27.5,25,24.1,29.9,82,1008.5,N,2,6,12,15
December,112.6,14,31.4,23.7,27.5,27.1,24.6,23.7,29.2,81,1009.2,N,2,6,6,8
Annual,1759.1,174,31.9,23.9,27.9,27.5,24.9,23.9,29.6,81,1009.2,N,2,6,125,148
