month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,129.2,16,30.2,22.8,26.5,26.8,24.9,24.2,30.2,86,1010.4,NE,2,6,1,1
February,90.4,11,30.6,22.8,26.7,27.1,25,24.3,30.2,84,1010.7,NE,2,6,1,1
March,82.5,10,31.6,23.1,27.4,27.6,25.2,24.4,30.4,82,1010.6,NE,2,5,2,1
April,103.5,9,32.6,23.4,28,28.3,25.7,24.8,31.2,81,1009,NE,1,5,4,4
May,150.9,12,32.8,23.4,28.1,28.3,25.9,25.1,31.7,83,1009.3,NE,1,6,13,12
June,259.5,18,32.1,23,27.6,27.8,25.6,24.8,31.3,84,1009.3,NW,1,7,13,11
July,216.2,16,31.9,22.1,27,27.5,25.5,24.8,31.2,85,1009.2,W,1,7,10,8
August,194.5,14,32.1,22.8,27.5,27.6,25.5,24.8,31.2,84,1009.1,W,1,7,9,7
September,199.1,16,32,22.9,27.5,27.6,25.5,24.8,31.2,84,1009.5,W,1,7,11,8
October,291.3,18,31.7,22.9,27.3,27.4,25.5,24.8,31.3,86,1009.4,W,1,7,12,11
November,380.9,20,31.2,22.8,27,27.3,25.4,24.7,31.1,86,1009.3,NE,1,7,9,8
December,254.8,18,30.6,22.8,26.7,27,25.1,24.4,30.5,86,1009.9,NE,1,6,4,3
Annual,2352.9,178,31.6,22.9,27.3,27.5,25.4,24.7,31,84,1009.6,NE,1,6,89,75
