month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,82,13,29,24.5,26.8,26.6,24.3,23.5,28.8,83,1010.7,NE,3,6,1,2
February,61.4,10,29.2,24.3,26.8,26.7,24.3,23.4,28.7,82,1010.9,NE,3,6,1,1
March,46.3,8,30,24.6,27.3,27.3,24.7,23.8,29.3,81,1010.6,NE,2,5,2,3
April,53.7,6,31,25.2,28.1,28.3,25.3,24.3,30.2,78,1009.6,NE,2,4,4,7
May,81.8,10,31.7,25.4,28.6,28.6,25.5,24.5,30.5,78,1008.7,NE,2,5,12,19
June,129.7,14,31.6,24.9,28.2,28.2,25.3,24.3,30.2,79,1008.6,NE,1,6,12,22
July,122.7,16,31.3,24.3,27.8,27.7,25,24.1,29.8,80,1008.5,E,1,6,11,20
August,110.6,13,31.7,24.2,27.9,27.8,25,24,29.7,80,1008.3,NE,2,6,9,17
September,127.3,15,31.5,24.2,27.8,27.6,25,24.1,29.9,81,1008.8,NE,1,6,11,19
October,156.7,16,31,24.4,27.7,27.5,25,24.1,29.9,82,1008.8,NE,1,6,14,21
November,138.7,14,30.5,24.8,27.7,27.6,25,24.1,29.9,81,1008.9,NE,2,6,9,17
December,107.3,15,29.7,24.8,27.2,27.1,24.7,23.8,29.4,82,1010,NE,2,6,3,8
Annual,1218.4,150,30.7,24.6,27.7,27.6,24.9,24,29.7,81,1009.4,NE,2,6,89,156
