month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,79.4,10,32.8,22.5,27.6,27.5,24.5,23.4,28.7,78,1007,NE,2,5,1,2
February,59.5,8,33.2,22.6,27.9,27.8,24.6,23.5,28.7,77,1007.1,NE,2,5,1,2
March,51.4,7,34.2,22.9,28.5,28.4,24.9,23.7,29.1,75,1007.3,NE,2,4,1,3
April,58.3,7,34.4,23.3,28.8,28.8,25.4,24.2,30.1,76,1006.7,S,2,4,2,5
May,75,11,33.4,23.4,28.4,28.4,25.5,24.5,30.6,79,1006.4,S,1,5,4,10
June,118.1,13,32.3,23,27.6,27.7,25.2,24.3,30.3,82,1006.7,S,1,6,4,7
July,107.9,13,31.7,22.6,27.2,27.3,24.9,24.1,29.8,82,1006.8,S,1,6,3,6
August,91.3,13,31.9,22.7,27.3,27.3,24.9,24.1,29.8,82,1007.4,S,1,6,3,5
September,87.8,11,32.3,22.7,27.5,27.5,25,24.1,29.9,82,1007.5,S,1,6,3,6
October,91.1,12,32.7,22.7,27.7,27.7,25.1,24.2,30.1,81,1007.1,S,1,5,4,8
November,75.3,10,33,22.8,27.9,27.9,25.2,24.3,30.2,80,1006.6,S,1,5,3,7
December,64.6,10,33,22.6,27.8,27.8,24.9,23.9,29.5,79,1006.8,S,1,5,2,4
Annual,959.9,125,32.9,22.8,27.9,27.8,25,24,29.7,79,1006.9,S,1,5,31,65
