month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,371.3,23,28.4,24,26.2,26.1,24.5,23.9,29.6,88,1011.8,NE,5,6,0,1
February,276.7,19,28.8,24.1,26.5,26.3,24.5,23.8,29.5,86,1012,NE,5,6,0,1
March,218.8,18,29.6,24.4,27,26.9,24.9,24.2,30.1,85,1012,NE,4,5,1,2
April,125.7,16,31,25.2,28.1,27.9,25.7,25,31.5,84,1011.1,NE,3,5,2,5
May,141.2,15,32,25.6,28.8,28.5,26.3,25.6,32.7,84,1009.9,E,3,5,5,14
June,185.6,16,31.7,25.4,28.6,28.3,26.2,25.5,32.5,85,1009.5,E,2,6,5,19
July,211.5,16,31,25.1,28.1,27.8,25.8,25.1,31.8,85,1009.1,W,3,6,7,19
August,160.6,13,31.3,25.3,28.3,28,25.9,25.2,32,85,1008.8,SW,3,7,7,17
September,177.4,15,31.4,25.2,28.3,28,25.8,25.1,31.7,84,1009.3,W,3,6,9,20
October,290,19,30.7,25,27.8,27.6,25.7,25,31.7,86,1009.5,NE,3,6,7,18
November,406.7,22,29.8,24.7,27.2,27.1,25.5,24.9,31.5,88,1007.5,NE,3,6,5,11
December,440.1,25,28.9,24.4,26.6,26.5,25,24.5,30.6,89,1010.7,NE,4,6,2,5
Annual,3005.6,217,30.4,24.9,27.6,27.4,25.5,24.8,31.3,86,1010.1,NE,3,6,50,132
