month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,776.3,25,29.7,23,26.4,26.1,24.6,24,29.9,88,1010.5,NE,2,6,1,1
February,547.6,22,30.1,23,26.5,26.3,24.6,24,29.7,87,1011,NE,2,6,1,1
March,448.3,23,30.8,23.2,27,26.8,25,24.4,30.4,86,1010.9,NE,2,5,1,2
April,318.7,19,31.9,23.7,27.8,27.7,25.6,24.9,31.4,84,1010,E,2,4,3,4
May,252.9,18,32.5,24.2,28.4,28.2,26,25.3,32.1,84,1009.2,E,2,5,7,12
June,258.1,17,32.5,24,28.2,27.9,25.8,25.1,31.8,85,1009,W,2,6,9,11
July,218.9,16,32.6,23.8,28.2,27.8,25.5,24.7,31,83,1008.6,W,2,6,10,13
August,186.7,13,33,23.9,28.4,28.1,25.6,24.8,31.1,82,1008.5,W,2,6,9,13
September,206.5,15,32.9,23.6,28.2,28,25.6,24.8,31.2,82,1008.9,W,2,5,11,14
October,270.9,17,32.5,23.6,28.1,27.8,25.6,24.8,31.3,84,1008.8,W,2,5,11,14
November,424.9,20,31.5,23.5,27.5,27.3,25.4,24.7,31.1,86,1008.8,W,2,5,5,7
December,555.1,23,30.5,23.3,26.9,26.6,25,24.4,30.6,88,1009.8,W,2,5,3,3
Annual,4464.9,228,31.7,23.6,27.6,27.4,25.3,24.7,31,85,1009.5,W,2,5,71,95
