month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,4.1,2,30.8,20.8,25.8,25.8,22.6,21.3,25.2,76,1012.4,NW,3,4,0,0
February,9.3,2,31.3,21.2,26.2,26.2,23,21.8,25.9,76,1012.3,NW,3,3,0,1
March,19.8,2,31.9,22.1,27,27.1,23.8,22.6,27.2,76,1011.5,NW,3,3,1,2
April,38.1,4,33.2,23.6,28.4,28.7,25,23.7,29.1,74,1010.2,NW,3,3,5,8
May,254.7,13,32.7,23.7,28.2,28.5,25.3,24.2,30,77,1008.6,E,3,5,14,20
June,519.9,18,31.5,23.4,27.4,27.6,25.2,24.4,30.4,82,1007.9,S,3,6,16,18
July,838.1,23,30.4,23,26.7,26.8,24.8,24.1,29.9,85,1007.6,S,3,6,16,18
August,897.7,25,29.9,22.9,26.4,26.5,24.7,24,29.9,86,1007.3,S,3,7,14,15
September,559.5,21,30.4,23.1,26.7,26.8,24.8,24.1,29.9,85,1008.2,E,3,6,14,17
October,234.2,14,31.3,23.2,27.3,27.3,24.8,23.9,29.6,82,1008.9,E,3,5,10,16
November,62.3,6,31.5,22.8,27.1,27.1,24.3,23.3,28.4,79,1010.1,E,2,4,3,8
December,13.2,3,31.1,21.7,26.4,26.4,23.2,22,26.2,76,1011.6,E,3,4,0,2
Annual,3450.7,133,31.3,22.6,27,27.1,24.3,23.3,28.5,80,1009.7,E,3,5,93,125
