month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,365.1,26,27.6,22.2,24.9,24.8,23.2,22.6,27.3,87,1014.2,N,2,6,0,0
February,253,18,28.5,22.2,25.3,25.1,23.4,22.7,27.6,87,1014,N,2,6,0,0
March,192.3,16,30.1,22.9,26.5,26.3,24.3,23.6,29,85,1013.2,N,2,5,1,1
April,208.9,14,31.8,24,27.9,27.8,25.4,24.6,30.8,82,1011.5,N,1,5,3,3
May,197.8,16,33.1,24.7,28.9,28.7,26,25.1,31.7,81,1009.4,N,1,5,12,13
June,237.2,17,33.4,24.9,29.2,28.8,26,25.1,31.7,80,1008.3,N,1,6,12,16
July,283.9,19,32.7,24.6,28.7,28.3,25.7,24.8,31.2,81,1007.7,S,1,6,11,13
August,189.8,16,32.8,24.9,28.9,28.4,25.6,24.7,30.9,80,1007.1,S,1,6,8,10
September,270.7,19,32.4,24.4,28.4,28,25.6,24.8,31.2,82,1008.4,N,1,6,11,12
October,635.7,24,30.8,24,27.4,27.2,25.3,24.6,30.9,86,1009.7,N,2,6,8,9
November,594.9,25,29.6,23.8,26.7,26.6,24.9,24.3,30.3,87,1011.8,N,2,6,3,3
December,675.8,26,27.9,22.9,25.4,25.3,23.7,23.1,28.2,87,1013.5,N,3,7,0,0
Annual,4105.1,236,30.9,23.8,27.3,27.1,24.9,24.2,30.1,84,1010.7,N,2,6,69,80
