month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,5.3,1,30.8,19.5,25.1,24.5,21.3,19.9,23.1,75,1013.4,N,3,3,0,0
February,2.8,1,31.5,20.1,25.8,25.3,22,20.6,24.2,75,1013.1,N,3,3,0,0
March,6,1,32.7,21.6,27.2,27,23.5,22.2,26.5,74,1012.1,NNW,2,2,1,1
April,24.8,1,34,23.5,28.8,28.8,25.2,24,29.6,75,1010.6,W,2,3,4,3
May,246.9,9,34,24.5,29.2,29.1,25.9,24.8,31.2,77,1008.8,W,2,4,16,12
June,312.9,14,33.2,24.6,28.9,28.6,26.1,25.3,32.1,82,1007.9,SW,2,5,19,16
July,448.2,18,32.5,24.3,28.4,28,26,25.3,32.2,85,1007.3,SW,2,6,20,14
August,583.9,19,31.8,24.2,28,27.5,25.7,25.1,31.8,87,1006.8,S,3,6,16,11
September,415.8,14,32,23.8,27.9,27.4,25.6,25,31.6,87,1008,E,2,5,15,11
October,103.3,7,32.4,23.3,27.9,27.5,24.8,23.8,29.4,80,1009.3,E,3,4,5,7
November,30.2,4,32,22.5,27.3,26.8,23.7,22.5,27.2,77,1010.9,N,3,4,1,2
December,2.8,1,31.1,20.6,25.8,25.3,22,20.6,24.2,75,1012.8,N,3,3,0,0
Annual,2182.8,90,32.3,22.7,27.5,27.2,24.3,23.3,28.6,79,1010.1,N,3,4,97,77
