month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,311.7,21,28.8,23.2,26,25.7,23.6,22.8,27.7,84,1012.5,NE,3,6,1,1
February,236.4,15,29.3,23.2,26.3,26,23.7,22.8,27.7,82,1012.7,NE,3,5,1,0
March,193.8,17,30.2,23.8,27,26.8,24.5,23.7,29.1,83,1012.2,NE,3,5,1,1
April,171.2,15,31.6,24.7,28.2,28,25.5,24.6,30.9,82,1010.8,NE,3,4,4,2
May,186.6,15,32.4,25.3,28.9,28.6,26.1,25.3,32.1,82,1009.3,NE,2,5,11,10
June,230.5,17,32.2,25.1,28.6,28.5,26,25.2,31.9,82,1008.6,SW,2,6,11,14
July,259.8,20,31.5,24.7,28.1,27.8,25.6,24.8,31.3,84,1008.1,SW,2,6,13,11
August,222.5,18,31.5,24.8,28.2,27.8,25.6,24.8,31.3,84,1007.7,SW,3,6,10,8
September,285.9,19,31.4,24.5,28,27.6,25.5,24.8,31.2,84,1008.5,SW,2,6,13,12
October,333,21,31,24.2,27.6,27.3,25.4,24.7,31.1,86,1009.1,NE,2,6,10,10
November,480.3,23,30.2,24.2,27.2,27,25.1,24.4,30.5,86,1009.9,NE,3,6,6,5
December,520.2,23,29.1,23.7,26.4,26.1,24.2,23.5,28.9,85,1011.5,NE,3,6,2,1
Annual,3432.1,224,30.8,24.3,27.5,27.3,25.1,24.3,30.3,84,1010.1,NE,3,6,83,75
