month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,98.9,12,29.6,21.6,25.6,25,23,22.2,26.7,84,1010.7,N,2,5,2,2
February,68,8,30.2,21.4,25.8,25.2,22.9,22,26.3,82,1011,N,2,5,2,1
March,49.8,6,31.3,21.6,26.5,25.9,23.3,22.3,26.8,80,1010.7,N,2,4,4,2
April,52.6,5,32.5,22.4,27.5,26.9,23.8,22.6,27.3,77,1009.8,N,2,4,7,4
May,125,12,32.9,23.2,28,27.3,24.3,23.2,28.3,78,1009.2,N,2,5,17,12
June,212.7,17,32,22.8,27.4,26.5,24,23.1,28.1,81,1009.4,S,2,6,18,11
July,245.6,18,31.6,22.4,27,26.1,23.8,22.9,27.9,83,1009.5,S,2,6,17,10
August,195.8,15,32.1,22.5,27.3,26.4,23.8,22.8,27.7,80,1009.4,S,2,6,13,9
September,219.7,16,31.8,22.3,27.1,26.1,23.7,22.8,27.6,82,1009.8,S,2,6,17,10
October,185.9,16,31.4,22.3,26.9,26.1,23.8,22.9,27.9,83,1009.5,S,2,5,16,13
November,136,12,30.9,22.1,26.5,25.9,23.7,22.9,27.8,83,1009.3,S,2,5,10,8
December,113.2,11,30.1,21.8,26,25.5,23.4,22.6,27.3,84,1010,N,2,5,5,4
Annual,1703.3,148,31.4,22.2,26.8,26.1,23.6,22.7,27.5,81,1009.9,N,2,5,128,86
