month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,211.3,17,29.6,23.2,26.4,26.1,23.8,22.9,27.9,83,1010.3,NE,2,6,1,10
February,143.3,13,30.2,23.2,26.7,26.3,23.9,23,28,82,1010.2,E,2,5,0,8
March,114.3,12,31,23.6,27.3,27,24.3,23.3,28.5,80,1009.8,E,2,5,0,8
April,64.2,8,32.1,24.4,28.2,27.9,25,24,29.7,79,1009,E,2,4,2,9
May,85,8,32.6,24.8,28.7,28.4,25.4,24.4,30.4,78,1008.6,E,2,4,5,18
June,127.3,12,31.8,24.6,28.2,28,25.1,24.1,29.9,79,1008.5,SW,2,5,6,21
July,173.6,16,31.1,24.3,27.7,27.5,24.9,24,29.7,81,1008.7,SW,2,6,9,22
August,177,14,31.1,24.4,27.8,27.6,25,24.1,29.9,81,1008.5,SW,2,6,8,22
September,213.4,15,31.4,24.1,27.7,27.5,24.9,24,29.7,81,1004.3,SW,2,6,10,22
October,198.3,17,31.2,24,27.6,27.3,24.8,23.9,29.6,82,1008.9,N,2,5,10,23
November,193.9,17,30.8,23.8,27.3,27,24.5,23.6,29,81,1008.8,E,2,5,4,17
December,226.1,17,30,23.4,26.7,26.4,24.1,23.2,28.4,83,1009.5,NE,2,5,1,13
Annual,1927.7,166,31.1,24,27.5,27.2,24.6,23.7,29.2,81,1008.8,E,2,5,56,193
