month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,105.2,12,29.8,23.9,26.8,26.7,24.4,23.6,29,83,1011.7,NE,3,6,1,0
February,69.6,9,30.2,24,27.1,26.9,24.4,23.5,28.8,81,1011.9,NE,3,5,1,1
March,58.6,8,31.1,24.5,27.8,27.8,24.9,23.9,29.5,79,1011.7,NE,3,5,1,1
April,48.1,6,32.3,25.4,28.8,28.9,25.6,24.5,30.5,77,1010.7,NE,3,4,3,2
May,95,8,32.8,25.8,29.3,29.3,26.1,25.1,31.6,78,1009.8,E,2,5,9,8
June,175.6,14,32.1,25.4,28.8,28.6,25.9,25,31.5,81,1009.5,SW,2,6,11,9
July,192.9,16,31.5,24.9,28.2,28,25.6,24.8,31.2,82,1009.4,SW,2,6,13,9
August,143.5,14,31.7,25,28.4,28.1,25.5,24.6,30.8,81,1009.3,SW,3,6,11,7
September,179.6,15,31.8,24.9,28.3,28.1,25.6,24.8,31.1,82,1009.7,SW,2,6,14,10
October,194.8,16,31.4,24.8,28.1,27.9,25.6,24.8,31.2,83,1009.7,NE,2,6,14,10
November,161.9,14,31,24.7,27.8,27.7,25.4,24.6,30.8,83,1010.1,NE,3,6,6,6
December,139.7,14,30.2,24.3,27.3,27.1,24.9,24.1,30,84,1010.9,NE,3,5,3,2
Annual,1564.5,146,31.3,24.8,28.1,27.9,25.3,24.4,30.5,81,1010.4,NE,3,6,87,65
