month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,142.5,16,29,17.9,23.4,23,21.2,20.4,23.9,85,1009.4,S,1,6,1,1
February,106.1,13,29.4,17.6,23.5,23.1,21.2,20.4,23.9,84,1009.9,E,1,6,2,1
March,112.5,13,30.6,17.6,24.1,23.9,21.5,20.5,24,81,1005.4,S,1,5,3,2
April,115.6,12,31.7,18.1,24.9,24.6,22,20.9,24.6,80,1008.9,S,1,5,6,6
May,224.8,18,31.2,19.1,25.1,24.9,22.7,21.8,26.1,83,1006,S,1,6,14,11
June,313.5,23,29.8,19.2,24.5,24.1,22.4,21.7,25.9,86,1008.9,S,1,6,13,9
July,323.3,24,29,18.9,24,23.6,22.1,21.5,25.6,88,1008.8,S,1,7,14,9
August,294.4,22,29.1,18.8,23.9,23.5,22,21.4,25.4,88,1009,S,1,7,13,9
September,315.7,24,29.5,18.7,24.1,23.6,22.1,21.5,25.6,88,1009.1,S,1,7,15,10
October,314.7,23,29.6,18.9,24.2,23.7,22.2,21.6,25.7,88,1008.9,S,1,6,15,11
November,176.1,18,30,18.6,24.3,23.8,22.1,21.4,25.4,86,1008.6,S,1,6,7,7
December,130.7,16,29.5,18.3,23.9,23.5,21.6,20.8,24.5,85,1009.1,S,1,6,3,4
Annual,2569.9,222,29.9,18.5,24.2,23.8,21.9,21.1,25,85,1008.5,S,1,6,106,80
