month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,169.3,16,30.4,23.3,26.9,26.3,24.4,23.7,29.2,86,1011.7,NE,2,6,0,0
February,101.8,12,31.1,23.3,27.2,26.6,24.5,23.7,29.3,84,1011.9,E,2,5,0,0
March,86.9,11,32.2,23.9,28.1,27.4,25.1,24.3,30.3,83,1011.5,E,2,5,1,0
April,54.1,7,33.5,25,29.3,28.7,25.9,25,31.5,80,1010.3,E,2,4,2,2
May,118,9,34,25.7,29.8,29.2,26.4,25.5,32.5,80,1008.9,E,2,5,7,10
June,155.7,14,33.4,25.6,29.5,28.9,26.3,25.5,32.4,81,1008.4,SW,2,6,9,11
July,227,18,32.6,25.1,28.8,28.2,25.9,25.1,31.8,83,1008.1,SW,2,7,8,9
August,178.1,17,32.6,25.1,28.9,28.3,25.9,25.1,31.7,83,1007.7,SW,2,7,7,7
September,212.6,18,32.6,25,28.8,28.1,25.8,25,31.6,83,1008.4,SW,2,6,9,10
October,233,18,32.4,24.8,28.6,28,25.8,25.1,31.7,84,1008.8,NE,2,6,7,9
November,254.9,18,31.7,24.6,28.1,27.6,25.6,24.9,31.4,85,1009.4,E,2,6,4,3
December,258.9,20,30.7,23.8,27.3,26.7,24.9,24.2,30.2,86,1010.8,NE,2,6,1,1
Annual,2050.4,178,32.2,24.6,28.4,27.8,25.5,24.8,31.1,83,1009.6,E,2,6,55,62
