month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,6.8,2,30.2,22,26.1,26,22.6,21.2,25.1,75,1013.4,E,3,5,0,0
February,4.2,1,31,22.5,26.7,26.6,22.7,21.1,24.9,72,1013.2,E,3,4,0,0
March,4,1,32.5,23.6,28,27.9,23.4,21.7,25.7,68,1012.4,E,4,4,0,1
April,16,1,34.1,25,29.5,29.4,24.5,22.7,27.4,67,1010.8,ESE,4,4,1,3
May,70.4,6,33.8,25.5,29.7,29.4,25.3,23.9,29.4,72,1009.3,W,3,5,5,12
June,265.2,14,32.5,25.1,28.8,28.5,25.3,24.2,30,77,1008.7,W,3,6,7,13
July,316.7,16,31.3,24.6,28,27.7,25.1,24.2,30.1,81,1008.4,W,3,6,8,13
August,418.4,19,30.8,24.6,27.7,27.4,25.1,24.3,30.3,83,1008,W,3,7,6,8
September,255.2,16,31,24.6,27.8,27.5,25.2,24.4,30.5,83,1008.8,W,2,6,8,11
October,283.4,14,31.1,24.3,27.7,27.5,24.8,23.8,29.4,80,1009.6,E,2,6,5,8
November,99,8,31.1,23.7,27.4,27.2,24.2,23.1,28.1,78,1010.8,E,2,5,1,3
December,28.6,3,30.2,22.7,26.5,26.3,23.1,21.9,26.1,76,1012.5,E,2,5,0,0
Annual,1767.8,101,31.6,24,27.8,27.6,24.3,23,28.1,76,1010.5,E,3,5,41,72
