month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,17.3,4,29.6,23.8,26.7,26.7,22.9,21.4,25.3,72,1012.6,N,2,7,0,0
February,14.2,3,30.6,24.2,27.4,27.3,22.9,21.2,24.9,69,1012.4,E,3,6,0,0
March,15.8,3,32.1,25.3,28.7,28.5,23.7,21.9,26,67,1011.7,SE,3,6,0,1
April,23.7,4,33.5,26.6,30.1,30,24.9,23.1,28,66,1010.2,SE,3,6,2,2
May,147.2,10,33.2,26.9,30,30,25.7,24.3,30,71,1008.6,SW,3,6,9,9
June,253.5,17,32.2,26.4,29.3,29.3,25.8,24.6,30.8,76,1008.1,SW,3,7,11,9
July,420.5,21,31.2,25.9,28.5,28.5,25.6,24.6,30.8,79,1007.7,SW,3,7,12,9
August,432.4,21,30.8,25.8,28.3,28.2,25.6,24.7,31,81,1007.3,SW,4,7,11,7
September,355.1,20,31,25.7,28.4,28.3,25.5,24.6,30.7,80,1008.2,SW,3,7,12,8
October,234.8,17,31.1,25.7,28.4,28.3,25.2,24.1,29.9,78,1009,SW,3,7,7,6
November,121.7,12,30.9,25.1,28,28,24.5,23.2,28.3,75,1010.1,N,3,7,3,1
December,67.4,7,29.8,24.2,27,27,23.4,22,26.3,74,1011.8,N,2,7,1,0
Annual,2103.6,139,31.3,25.5,28.4,28.4,24.6,23.3,28.5,74,1009.8,SW,3,7,68,52
