month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,36.4,5,30.8,23.2,27,26.7,24,23,28,80,1010.9,E,3,5,1,2
February,23.7,3,31,23.1,27,26.8,24,23,27.9,79,1011.1,E,3,4,1,1
March,37.3,4,31.7,23.7,27.7,27.5,24.5,23.4,28.7,78,1010.7,E,3,4,2,3
April,54.2,7,32.7,24.5,28.6,28.4,25.3,24.2,30.1,78,1009.7,E,2,4,7,8
May,118.4,12,32.7,24.8,28.8,28.4,25.7,24.8,31.1,81,1008.9,W,2,5,15,18
June,171.1,17,31.8,24.2,28,27.5,25.3,24.5,30.7,84,1008.8,S,2,6,13,17
July,153.5,18,31.4,23.8,27.6,27.1,25,24.3,30.2,84,1008.7,W,2,6,11,13
August,185.4,18,31.3,23.8,27.5,27,25,24.3,30.3,85,1008.6,S,2,6,11,12
September,170.1,17,31.5,23.7,27.6,27,24.9,24.1,30,84,1009.1,W,2,6,12,13
October,216.1,19,31.4,23.7,27.5,27,25,24.3,30.3,85,1009.2,W,2,6,13,15
November,211,15,31.1,23.7,27.4,27.1,25,24.3,30.2,84,1009.3,E,2,5,11,13
December,150.1,11,30.7,23.5,27.1,26.9,24.5,23.6,29.1,82,1010.1,E,3,5,4,8
Annual,1527.3,146,31.5,23.8,27.7,27.3,24.8,24,29.7,82,1009.6,E,2,5,101,123
