month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,99.2,13,28.4,24,26.2,25.8,23.7,22.9,27.8,84,1012.3,NE,3,6,0,0
February,63.4,8,29.1,24.2,26.7,26.2,23.9,23,28.1,83,1012.4,NE,3,5,0,0
March,59.7,8,30.4,24.9,27.6,27.1,24.5,23.6,28.9,81,1011.8,E,3,4,1,1
April,68.2,7,32,26,29,28.6,25.5,24.5,30.5,78,1010.9,E,3,4,2,5
May,147.3,10,32.6,26.3,29.4,29,26,25,31.5,79,1009,E,2,4,7,16
June,233.1,16,31.7,25.8,28.7,28.4,25.8,24.9,31.4,81,1008.4,SW,2,6,8,19
July,260.5,18,30.8,25.4,28.1,27.8,25.5,24.7,31,83,1008.2,SW,2,6,7,16
August,210.3,16,30.5,25.5,28,27.7,25.4,24.6,30.8,83,1007.9,SW,3,6,5,13
September,259.9,17,30.6,25.3,28,27.7,25.4,24.6,30.8,83,1008.6,SW,3,6,7,15
October,320.3,19,30.3,25.2,27.8,27.5,25.3,24.5,30.7,84,1009.2,NE,2,6,8,16
November,270.1,18,29.7,25.2,27.5,27.2,25.1,24.4,30.4,84,1009.9,NE,3,6,5,9
December,211.8,17,28.5,24.4,26.5,26.2,24.1,23.3,28.6,84,1011.5,NE,3,6,1,2
Annual,2203.9,167,30.4,25.2,27.8,27.4,25,24.2,30.1,82,1010,NE,3,5,51,112
