month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng, 
January,72.1,12,29.1,24.1,26.6,26.5,24.4,23.6,29.1,84,1012.2,NE,4,5,1,2,
February,49.3,8,29.5,24.1,26.8,26.7,24.4,23.6,29,83,1012.3,NE,4,5,0,1,
March,63.7,6,30.5,24.5,27.5,27.5,25,24.1,29.9,82,1011.7,NE,3,4,2,3,
April,69.9,6,31.9,25.1,28.5,28.7,25.8,24.8,31.2,79,1010.4,E,3,4,5,7,
May,144.7,10,32.6,25.2,28.9,28.9,26.1,25.2,31.9,80,1009.2,E,3,4,15,19,
June,259,16,32.1,24.8,28.4,28.3,25.8,25,31.5,82,1008.8,S,2,5,20,21,
July,253.4,16,31.5,24.5,28,27.8,25.5,24.7,31,83,1008.5,S,2,6,19,21,
August,202.1,15,31.7,24.5,28.1,27.7,25.5,24.7,31.1,84,1008.2,S,2,6,18,19,
September,213.5,16,31.5,24.4,28,27.7,25.5,24.7,31.1,84,1008.8,S,2,6,20,20,
October,304.9,19,31,24.5,27.8,27.8,25.6,24.8,31.3,84,1009.1,N,3,6,18,21,
November,239.4,17,30.6,24.8,27.7,27.7,25.5,24.7,31.1,84,1009.7,NE,3,5,9,14,
December,171.3,15,29.4,24.5,27,26.9,24.9,24.2,30.1,85,1011.2,NE,4,5,3,7,
Annual,2043.3,156,31,24.6,27.8,27.7,25.3,24.5,30.7,83,1010,NE,3,5,130,155,
