month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,8.4,3,32.3,22.7,27.5,27.3,23.1,21.5,25.4,70,1010.8,E,3,4,0,1
February,11.7,2,32.6,22.7,27.6,27.5,23.2,21.5,25.5,69,1010.9,E,3,4,0,1
March,11.1,2,33.9,23.8,28.8,28.6,24,22.3,26.7,68,1010.4,E,3,3,1,2
April,26.8,3,34.6,24.5,29.6,29.6,25.1,23.5,28.7,69,1009.3,E,3,4,4,7
May,170.5,10,33.8,24.8,29.3,29.2,25.8,24.7,30.9,76,1008.3,E,3,5,13,19
June,377.7,17,32.1,24.3,28.2,28.1,25.8,25,31.6,83,1008.1,SW,2,6,15,20
July,457.5,21,30.8,24,27.4,27.3,25.4,24.7,31.1,86,1008,W,3,6,13,16
August,475.6,22,30.7,24,27.4,27.3,25.5,24.9,31.4,87,1007.8,SW,3,7,13,14
September,406.7,20,30.7,23.9,27.3,27.1,25.4,24.8,31.3,87,1008.4,W,2,6,13,16
October,252,16,31.5,23.9,27.7,27.4,25.3,24.6,30.8,84,1008.5,W,2,6,12,17
November,106.5,9,32.3,23.7,28,27.8,24.8,23.7,29.2,78,1008.7,E,3,5,4,10
December,55.9,5,32.2,23.4,27.8,27.5,23.8,22.4,26.9,73,1009.9,E,3,5,1,4
Annual,2360.2,130,32.3,23.8,28,27.9,24.8,23.6,29.1,78,1009.1,E,3,5,89,127
