month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,18.5,4,30.6,20.8,25.7,25.3,22.2,20.9,24.6,76,1012.3,N,1,5,1,0
February,14.6,3,31.7,20.9,26.3,26,22.3,20.8,24.4,73,1012,NE,1,5,0,0
March,24.8,4,33.4,22.1,27.8,27.6,23.2,21.5,25.4,69,1011.3,SE,1,4,2,1
April,40.4,5,35,23.7,29.4,29.2,24.4,22.7,27.2,67,1009.7,SE,1,4,4,2
May,186.7,12,34.7,24.7,29.7,29.3,25.3,23.9,29.5,72,1008.5,S,1,5,12,8
June,316.5,18,33.1,24.6,28.8,28.4,25.5,24.5,30.6,79,1008.1,SW,1,6,17,9
July,493.3,22,31.9,24.1,28,27.5,25.2,24.4,30.5,83,1007.7,SW,2,6,19,9
August,504.2,23,31.3,24.2,27.8,27.3,25.2,24.5,30.6,84,1007.4,SW,2,7,17,6
September,451.2,22,31.6,24,27.8,27.2,25.1,24.4,30.4,84,1010.6,SW,1,6,18,9
October,296.6,18,31.6,23.5,27.6,27,24.7,23.9,29.5,83,1008.8,N,1,6,11,6
November,148.8,14,31.4,22.7,27.1,26.5,24.1,23.2,28.4,82,1010.1,N,1,5,5,1
December,78.7,8,30.5,21.6,26,25.5,22.8,21.7,25.9,79,1011.5,N,1,5,1,0
Annual,2574.4,153,32.2,23.1,27.7,27.2,24.2,23,28.1,78,1009.8,N,1,5,107,51
