month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,609.4,26,29.4,23.3,26.3,26.2,24.6,24,29.8,88,1010.8,NE,3,6,1,1
February,446.4,21,29.9,23.5,26.7,26.4,24.6,23.9,29.7,86,1011,E,3,6,1,0
March,326,21,30.8,23.8,27.3,27.1,25,24.3,30.2,84,1010.8,E,3,5,1,1
April,219.1,17,32,24.4,28.2,27.9,25.6,24.8,31.2,83,1010.1,E,2,4,4,3
May,139.6,13,32.7,24.9,28.8,28.7,26.1,25.2,32,81,1009.2,E,2,5,6,9
June,142.1,14,32.6,24.8,28.7,28.5,25.9,25,31.6,81,1009.1,SW,2,5,7,10
July,171.1,15,32.3,24.6,28.5,28.3,25.7,24.8,31.2,81,1009.1,SW,2,6,7,12
August,133.9,12,32.7,24.7,28.7,28.6,25.8,24.9,31.3,80,1008.9,SW,2,6,6,12
September,171,15,32.7,24.6,28.7,28.6,25.8,24.9,31.3,80,1009.3,W,2,6,7,14
October,240.7,19,32,24.4,28.2,28.1,25.7,24.9,31.4,82,1009.3,W,2,6,8,12
November,467.3,22,30.8,24,27.4,27.3,25.4,24.7,31.1,86,1009.4,E,2,6,6,6
December,585.2,25,29.9,23.7,26.8,26.6,24.9,24.3,30.3,87,1010.1,NE,2,6,3,2
Annual,3651.8,220,31.5,24.2,27.9,27.7,25.4,24.6,30.9,83,1009.8,E,2,6,57,82
