month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,323.9,22,29.2,23.4,26.3,25.7,24,23.4,28.7,87,1011.2,NW,2,6,2,1
February,238.4,17,29.9,23.4,26.6,26,24,23.2,28.4,85,1011.5,NW,2,6,1,0
March,184.4,17,30.7,23.8,27.3,26.7,24.5,23.7,29.2,83,1011.1,SSE,2,5,3,1
April,115.2,14,31.8,24.7,28.3,27.9,25.5,24.7,31,82,1010,SSE,2,5,7,4
May,144.1,14,32.3,25.3,28.8,28.4,26,25.2,31.9,83,1008.8,SSE,2,5,15,12
June,184.6,17,32,25.2,28.6,28.1,25.9,25.2,31.9,84,1008.4,SSE,2,6,16,14
July,186,17,31.6,24.8,28.2,27.7,25.5,24.7,31.1,84,1008,SE,1,6,17,15
August,160.9,15,32,24.9,28.4,27.9,25.6,24.8,31.2,83,1007.7,SE,1,6,15,13
September,173.7,16,31.8,24.7,28.2,27.6,25.5,24.8,31.2,84,1008.2,SE,1,6,18,16
October,243.9,20,31.4,24.6,28,27.3,25.4,24.7,31.1,86,1008.5,NW,1,6,18,15
November,318.2,22,30.7,24.4,27.5,26.9,25.1,24.5,30.6,86,1008.9,NW,2,6,12,8
December,386,23,29.7,23.9,26.8,26.1,24.5,23.9,29.6,88,1010.2,NW,2,6,5,3
Annual,2659.3,214,31.1,24.4,27.8,27.2,25.1,24.4,30.5,85,1009.4,NW,2,6,129,102
