month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,101,14,31.1,22.6,26.8,26.4,24.1,23.2,28.4,83,1010.6,NE,2,6,2,1
February,79.6,11,31.6,22.5,27.1,26.6,24.1,23.2,28.3,81,1010.9,NE,2,6,1,1
March,76.6,11,32.4,22.8,27.6,27.4,24.5,23.5,28.7,79,1010.5,NE,2,5,3,2
April,67.5,9,33.3,23.6,28.5,28.4,25.3,24.2,30.1,78,1009.5,W,1,5,6,4
May,81.5,10,33.5,24.4,29,28.9,25.9,24.9,31.3,79,1008.7,S,1,6,12,13
June,128.2,15,32.9,24.4,28.7,28.5,25.8,24.9,31.3,81,1008.6,S,2,6,12,16
July,126.7,15,32.5,24.3,28.4,28.1,25.6,24.8,31.1,82,1008.5,S,2,7,11,14
August,116.3,13,32.8,24.5,28.7,28.4,25.6,24.7,30.9,80,1008.5,S,2,7,8,12
September,126.5,14,32.8,24.4,28.6,28.3,25.6,24.7,30.9,81,1008.8,S,2,7,11,16
October,176.3,18,32.4,24,28.2,27.8,25.5,24.7,31,83,1008.8,S,1,7,14,18
November,178.9,18,32,23.6,27.8,27.3,25.3,24.6,30.9,85,1008.8,NE,1,6,10,11
December,153.6,16,31.4,23,27.2,26.8,24.7,23.9,29.7,84,1009.7,NE,1,6,4,5
Annual,1412.6,164,32.4,23.7,28,27.7,25.2,24.3,30.2,81,1009.3,S,2,6,94,113
