month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,163,18,27.7,21.9,24.8,24.2,22.5,21.8,26.1,86,1012.6,N,2,6,0,0
February,111.4,13,28.5,22,25.3,24.6,22.7,21.9,26.3,85,1012.6,NE,2,5,0,0
March,107.1,10,30,22.8,26.4,25.7,23.6,22.8,27.7,84,1011.9,NE,2,5,1,1
April,109.5,9,31.8,23.8,27.8,27.2,24.6,23.7,29.1,81,1010.5,NE,1,4,4,5
May,161.2,13,32.4,24.2,28.3,27.6,25.1,24.2,30.1,82,1008.8,NE,1,5,15,17
June,225.5,15,31.7,24,27.9,27.3,25.1,24.3,30.3,84,1008,S,1,6,17,18
July,273.8,18,31,23.6,27.3,26.8,24.8,24.1,29.9,85,1007.5,SW,1,6,16,17
August,185.1,17,31.1,23.6,27.4,26.7,24.7,24,29.7,85,1007.1,SW,1,6,13,13
September,274.2,18,30.9,23.3,27.1,26.5,24.6,23.9,29.6,86,1008,SW,1,6,16,16
October,494.1,22,30.2,23.4,26.8,26.2,24.4,23.7,29.3,86,1008.8,N,1,6,11,12
November,529.7,23,29.3,23.3,26.3,25.7,24,23.4,28.7,87,1010,N,2,6,5,5
December,421,22,27.9,22.4,25.1,24.5,22.9,22.2,26.8,87,1011.9,N,2,6,1,1
Annual,3055.8,198,30.2,23.2,26.7,26.1,24.1,23.3,28.6,85,1009.8,N,1,6,99,105
