month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,32.7,8,28.4,18.9,23.7,23.5,21,19.9,23.1,80,1014.9,N,2,6,0,0
February,27.3,6,30.5,19.3,24.9,24.7,21.7,20.4,23.9,77,1014.3,N,2,5,0,0
March,28.6,5,33.1,20.9,27,26.6,23,21.6,25.6,74,1012.9,N,2,4,1,1
April,47.2,6,35.4,22.6,29,28.5,24.2,22.6,27.2,70,1010.9,N,2,4,3,2
May,128.2,11,35.8,23.2,29.5,28.9,24.5,22.9,27.7,70,1008.8,S,2,5,11,8
June,157.5,12,35.1,23.4,29.3,28.8,24.4,22.8,27.5,70,1007.6,S,2,5,12,13
July,195.3,15,33.9,23.2,28.6,28.2,24.1,22.6,27.2,71,1006.9,S,2,5,10,11
August,247.1,15,33.5,23.2,28.3,27.9,24,22.6,27.1,72,1005.2,S,1,6,9,9
September,221.4,14,32.9,22.8,27.9,27.4,23.7,22.3,26.7,73,1006.7,S,1,6,7,8
October,298.5,15,31.4,22,26.7,26.5,23.1,21.8,25.9,75,1009.8,N,2,6,3,4
November,230,15,29.6,21,25.3,25.3,22.4,21.2,25.1,78,1012.1,N,2,6,1,1
December,122.3,12,27.8,19.4,23.6,23.6,21.1,20,23.3,80,1014.5,N,2,6,0,0
Annual,1736.2,134,32.3,21.7,27,26.6,23.1,21.7,25.9,74,1010.4,N,2,5,57,57
