month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,3.5,1,30.4,21.1,25.8,25.7,22,20.5,23.9,72,1013.1,N,3,3,0,0
February,3.9,1,30.9,21.6,26.2,26.1,22.4,20.9,24.5,73,1012.8,N,2,2,0,0
March,5.4,1,32,23.1,27.6,27.4,23.7,22.3,26.7,73,1012.4,N,2,2,0,0
April,16.1,2,33.3,24.5,28.9,28.8,25.1,23.8,29.3,74,1011,N,2,2,3,4
May,194.5,10,33.2,24.8,29,28.9,25.7,24.6,30.8,77,1009.3,S,2,4,12,12
June,321.8,16,32,24.3,28.2,28.3,25.7,24.8,31.2,81,1008.4,S,2,5,15,13
July,536.3,20,31.3,23.9,27.6,27.7,25.5,24.7,31.1,84,1007.9,S,2,5,15,11
August,630.3,21,30.6,23.7,27.2,27.4,25.3,24.6,30.8,84,1007.3,S,3,6,11,9
September,382.6,16,31,23.7,27.4,27.6,25.3,24.5,30.6,83,1008.6,S,2,5,10,9
October,143.8,8,31.5,23.4,27.5,27.7,24.9,23.9,29.5,80,1008.5,N,2,4,5,5
November,36.3,3,31.5,23,27.3,27.4,24.2,23,28,77,1012.9,N,2,3,1,1
December,2.9,1,30.8,21.8,26.3,26.3,22.5,21,24.6,72,1012.2,N,3,3,0,0
Annual,2277.4,100,31.6,23.3,27.4,27.4,24.4,23.2,28.4,78,1010.4,N,2,4,72,64
