month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,409.5,24,26.5,21.2,23.8,24,22.6,22,26.5,89,1012.5,NE,4,6,0,0
February,270.5,17,27.1,21.2,24.1,24.2,22.6,21.9,26.3,87,1012.7,NE,4,6,0,0
March,215.9,18,27.8,22,24.9,25,23.4,22.8,27.7,87,1012.5,NE,4,6,1,0
April,215.2,16,29,22.8,25.9,26.1,24.3,23.6,29.1,86,1010.7,NE,3,5,2,2
May,197.2,16,30,23.5,26.8,26.9,25.1,24.5,30.6,86,1009,NE,3,5,7,8
June,234.5,16,30,23.7,26.9,26.9,25.2,24.6,30.9,87,1008.3,SW,3,6,8,10
July,249.6,17,29.4,23.3,26.4,26.4,24.7,24.1,29.9,87,1007.7,SW,4,6,10,11
August,177.1,14,29.8,23.4,26.6,26.5,24.7,24,29.9,86,1007.1,SW,4,6,8,9
September,244.1,17,29.8,23.4,26.6,26.3,24.6,24,29.7,87,1008,SW,3,6,10,12
October,447,22,29.2,23.2,26.2,25.9,24.5,24,29.8,89,1008.7,NE,3,6,8,8
November,575.8,25,28.2,22.8,25.5,25.5,24.2,23.7,29.3,90,1009.7,NE,4,6,3,3
December,640.6,26,27.1,21.8,24.4,24.5,23.3,22.8,27.8,90,1011.2,NE,4,7,1,1
Annual,3877,228,28.6,22.7,25.7,25.7,24.1,23.5,29,88,1009.8,NE,4,6,58,64
