month,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_dir_16pt,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
January,49.7,7,32.3,23.5,27.9,27.2,24.5,23.5,28.9,80,1009.7,WSW,2,6,3,3
February,43.7,6,32.6,23.6,28.1,27.4,24.6,23.6,29,79,1010,WSW,2,5,2,2
March,56.3,7,33,24,28.5,27.9,24.9,23.9,29.4,78,1009.9,WSW,2,5,4,3
April,69,8,33.1,24.4,28.8,28.3,25.4,24.4,30.4,79,1009.3,WSW,2,5,7,5
May,90,12,32.8,24.7,28.8,28.3,25.6,24.7,30.9,81,1009,WSW,2,6,12,12
June,149.1,16,32.1,24.4,28.2,27.7,25.3,24.5,30.6,82,1009.3,W,2,6,9,9
July,152.6,14,31.8,24.2,28,27.5,25.2,24.4,30.5,83,1009.4,W,2,6,7,5
August,144.9,13,32.1,24.3,28.2,27.7,25.2,24.3,30.3,82,1009.5,W,2,6,7,5
September,144.9,13,32.3,24.2,28.3,27.7,25.2,24.3,30.3,82,1009.7,W,2,6,8,5
October,178.9,14,32.2,24,28.1,27.5,25.2,24.4,30.5,83,1009.3,W,2,6,11,6
November,120.6,13,32.5,23.9,28.2,27.6,25.2,24.4,30.4,82,1008.9,W,2,6,8,7
December,66.8,10,32.5,23.7,28.1,27.4,24.9,24,29.8,82,1009.3,WSW,2,6,4,4
Annual,1266.5,133,32.4,24.1,28.3,27.7,25.1,24.2,30.1,81,1009.4,WSW,2,6,82,66
